id,topic,question,tags,answer,,
1,sti,Will I get an STI if I don't use a condom?,"sti, condom","It is definitely possible to contract an STI if you don't use a condom. But with a condom, you are 80% less likely to get an STI- so we strongly recommend using a condom!",You can use this link to find a condoms near you!,
2,sex,Does sex feel good/pleasureable?,"sex, feel, pleasure, good",It depends on the person. *****,,
3,sex,What does sex feel like?,"sex, feel",,,
4,sex,What kinds of sex positions are there?,sex positions,"There are lots of sex positions for different kinds of sex! For anal and vaginal sex- missionary, cowgirl, and doggy style are common positions. For oral sex, ""69"" is another positionfew common ones. ",Check out these other questions on sex positions,
5,health,What is a period?,period,,,
6,body,Is my penis too small?/Do women prefer bigger penises?,"penis, size, small",,,
7,health,Is masturbation normal?,"masturbation, normal",Yes! Masturbation is both normal and healthy for everyone. Masturbation is a great way to find out what feels good for your body. ,,
8,sti,How likely am I to get an STI even if I use a condom?,"sti, condom, likely",,,
9,sex,How do I know when I'm ready?/When's the right time to have sex?,"ready, first time, sex, right time",We believe that people are ready to have sex when they know how to communicate with another person about sex. ,,
10,"lgbtq, sex",How do two women have sex?,"women, sex, lesbian","There are lots of ways two women can have sex. For example, women can perform oral sex on each other, finger each others genitals, and have vaginal or anal sex with a penis or dildo. ",,***inclusive
11,sti,What are the most common STIs?,"common, sti","The most common STI is HPV. In fact, 90% of people in the US will get HPV at some point in their lives. Other common STIs are chlamydia, gonorrhea, and herpes. ",,
12,"sex, sti",Can I get an STI from oral sex?,"sti, oral, sex","Yes, you can get an STI from oral sex- whether you are using your mouth or genitals. Bacterial STIs like chlamydia and gonorrhea can be transferred from gentials to mouths/throats (and vice versa). Herpes is also commonly transferred between mouths and gentials. In fact, 50% of all new genital herpes infections come from oral herpes. ",,
13,"sex, lgbtq, sti",Can I get an STI from anal sex?,"sti, anal, sex","Yes, you can get an STI from anal sex. Without using a condom, you are at high risk for STIs like chlamydia and gonorrhea. Anal sex also poses a high risk for HIV transmission. ",,
14,"sti, health",What if I have an STI but I don't get it checked?,"sti, looked at, check","Most STIs actually show <u> no symptoms </u> so most people won't know if they have an STI unless they get checked for them. If you have an STI and don't get it checked, you run the risk of transferring the STI to others and some STIs, like syphilis, get worse over time. ","Getting tested for STIs is the only way to know for sure whether you have one or not. If you do have an STI, you'll ___",
15,"sti, health",What happens during STI testing?,"sti, testing, exam",Getting tested is actually a pretty easy process!,,
16,"sti, health","If I get tested, will they tell my parents?","sti, parents, clinic, tell, test",Every state has different laws. ,Use this tool to help you figure out what the consent laws are in your state.,
17,sti,How can I tell if I have an STI?,"symptoms, sti","If you have an STI, msot of the time, you won't know on your own because most people have no symptoms. The only way to know for sure is to get tested.",,
18,"sti, health",What STIs can I get vaccinated for?,"sti, vaccine","You can get vaccinated for HPV, ",,
19,"sti, sex",Can I get an STI from a handjob or finger?,"sti, handjob, fingering","Usually not, and handjobs/fingering is a great strategy for protecting your health when you don't have a condom on you!  STIs can be transferred through bodily fluids and some by close personal contact, so if you ",,
20,"sti, health",How often should I get tested for STIs?,"sti, testing, frequency, often",,,
21,"sti, testing",Who should get tested for STIs?,"sti, testing",,,
22,"sti, sex",Can I still have sex if I get an STI?,"sex, sti",,,
23,"sti, relationships",If my partner has an STI does it mean they cheated on me?,"sti, relationship, cheat, partner, boyfriend, girlfriend",,,
24,"sti, health",What do I do if my STI test is positive?,"sti, text, exam, positive",,,
25,"sti, health",Can I get STI tested for free?,"sti, testing, free",,,
